Languages,Articles,Pages,Edits
English,"6,855,745","61,059,871","1,231,063,750"
Cebuano,"6,117,156","11,229,049","35,047,688"
Deutsch,"2,928,001","8,065,903","245,297,894"
français,"2,623,988","13,131,833","216,483,202"
svenska,"2,590,859","6,251,745","55,261,414"
Nederlands,"2,162,771","4,642,601","67,683,818"
русский,"1,989,700","7,991,724","138,777,551"
español,"1,967,755","8,223,222","160,951,293"
italiano,"1,873,142","8,045,779","139,976,591"
مصرى,"1,624,154","2,127,849","10,215,911"
polski,"1,622,903","3,755,853","74,134,078"
中文,"1,430,953","7,761,479","83,175,967"
日本語,"1,422,818","4,181,589","100,968,214"
українська,"1,337,217","4,734,038","43,011,157"
Tiếng Việt,"1,294,309","19,476,784","71,485,870"
Winaray,"1,266,561","2,871,370","7,602,388"
العربية,"1,237,294","8,464,562","67,264,322"
português,"1,129,211","5,729,773","68,125,650"
فارسی,"1,007,847","5,712,560","39,833,913"
català,"755,643","1,888,214","33,654,591"
Bahasa Indonesia,"698,925","3,872,039","26,032,375"
српски / srpski,"691,482","4,138,496","28,114,177"
한국어,"677,547","3,259,404","37,476,383"
norsk,"633,202","1,826,479","24,527,798"
Türkçe,"615,881","3,082,841","33,468,097"
нохчийн,"601,373","1,190,927","10,384,566"
suomi,"576,767","1,499,998","22,468,054"
čeština,"549,985","1,542,018","24,067,756"
magyar,"544,001","1,558,078","27,241,691"
татарча / tatarça,"501,711","788,592","4,165,423"
română,"464,528","2,792,201","16,337,922"
srpskohrvatski / српскохрватски,"459,932","4,654,085","41,894,332"
euskara,"436,958","948,699","9,835,205"
閩南語 / Bân-lâm-gú,"433,122","1,069,924","3,210,877"
Bahasa Melayu,"384,285","1,098,400","6,248,102"
עברית,"358,210","1,519,151","38,989,943"
Esperanto,"356,148","801,444","8,782,997"
հայերեն,"312,032","1,149,124","10,041,397"
dansk,"301,063","948,708","11,788,823"
oʻzbekcha / ўзбекча,"300,928","1,086,744","4,529,382"
български,"299,648","674,919","12,280,536"
Cymraeg,"280,809","489,414","12,901,012"
Simple English,"254,255","831,152","9,633,624"
slovenčina,"249,494","574,919","7,861,747"
eesti,"246,148","580,554","6,678,625"
беларуская,"244,468","695,951","4,797,338"
تۆرکجه,"243,583","577,594","1,561,450"
Ελληνικά,"236,844","687,689","10,640,475"
қазақша,"236,503","636,464","3,355,016"
Minangkabau,"227,671","471,318","3,153,714"
hrvatski,"221,283","470,695","6,977,350"
lietuvių,"217,223","538,753","7,320,003"
galego,"212,276","522,909","6,789,249"
اردو,"208,096","1,101,097","6,284,705"
azərbaycanca,"200,776","573,621","7,693,598"
slovenščina,"185,979","472,932","6,243,899"
Ladin,"180,760","187,611","238,200"
ქართული,"173,595","487,328","4,671,696"
norsk nynorsk,"170,083","387,677","3,551,697"
தமிழ்,"166,609","567,282","4,040,070"
ไทย,"165,684","1,097,777","11,617,041"
हिन्दी,"162,967","1,331,780","6,176,092"
বাংলা,"155,431","1,258,378","7,485,708"
македонски,"145,417","565,749","5,223,352"
粵語,"142,242","318,091","2,155,610"
Latina,"139,187","283,744","3,832,475"
asturianu,"136,361","240,705","4,212,778"
latviešu,"128,630","519,063","4,084,902"
Afrikaans,"117,841","395,759","2,681,313"
тоҷикӣ,"113,375","276,092","1,405,099"
မြန်မာဘာသာ,"108,024","243,808","838,934"
shqip,"98,479","298,761","2,673,145"
తెలుగు,"97,865","360,067","4,231,032"
Malagasy,"97,587","250,599","1,079,699"
मराठी,"97,219","314,504","2,446,349"
bosanski,"93,679","373,311","3,620,811"
occitan,"89,774","164,074","2,430,959"
беларуская (тарашкевіца),"87,069","252,318","2,520,293"
brezhoneg,"86,570","157,221","2,104,911"
മലയാളം,"85,770","525,344","4,011,592"
Plattdüütsch,"85,057","176,623","1,020,669"
Kiswahili,"82,117","176,816","1,341,349"
кыргызча,"78,899","110,132","483,068"
kurdî,"78,299","243,252","1,785,288"
lombard,"74,153","148,337","1,276,210"
Jawa,"73,972","184,450","1,688,271"
پنجابی,"72,871","132,822","665,659"
नेपाल भाषा,"72,354","164,955","867,601"
Kreyòl ayisyen,"69,703","88,848","848,117"
vèneto,"69,298","142,145","1,172,733"
Piemontèis,"68,887","104,598","871,930"
کوردی,"67,405","234,282","1,262,132"
башҡортса,"63,718","183,387","1,275,404"
Lëtzebuergesch,"63,543","138,431","2,525,256"
Sunda,"61,758","98,812","670,343"
Gaeilge,"60,460","105,621","1,224,249"
íslenska,"58,681","152,673","1,866,545"
ślůnski,"58,136","74,075","370,295"
чӑвашла,"56,277","114,701","831,751"
ਪੰਜਾਬੀ,"54,660","177,153","761,105"
Frysk,"54,075","164,918","1,157,304"
Ido,"49,032","68,349","1,049,932"
Hausa,"48,823","75,522","468,856"
Tagalog,"47,459","242,103","2,116,571"
aragonés,"46,488","155,234","2,193,888"
吴语,"43,930","59,932","319,693"
Zazaki,"41,956","63,195","530,581"
Volapük,"37,356","154,073","3,301,143"
Scots,"34,607","138,599","889,794"
Igbo,"34,338","45,565","179,078"
Yorùbá,"34,178","58,351","584,024"
ಕನ್ನಡ,"32,435","140,598","1,230,881"
مازِرونی,"31,472","58,892","221,384"
नेपाली,"31,251","109,641","1,230,929"
Alemannisch,"30,522","73,400","1,054,658"
ગુજરાતી,"30,416","129,079","867,052"
interlingua,"29,652","44,928","668,946"
Kotava,"29,325","35,709","144,781"
qırımtatarca,"28,350","54,217","229,512"
Boarisch,"27,169","110,130","842,745"
sicilianu,"26,288","55,916","739,288"
বিষ্ণুপ্রিয়া মণিপুরী,"25,087","63,377","893,953"
Basa Bali,"24,816","48,758","189,911"
Runa Simi,"24,048","57,796","672,698"
монгол,"23,892","107,331","784,930"
Diné bizaad,"22,645","37,284","307,579"
მარგალური,"21,079","39,188","225,772"
සිංහල,"20,979","145,581","690,514"
پښتو,"19,429","68,161","327,982"
Nordfriisk,"19,142","48,067","262,402"
ирон,"18,682","68,596","562,047"
chiTumbuka,"18,650","38,611","102,820"
ଓଡ଼ିଆ,"18,377","80,969","538,067"
سنڌي,"17,815","61,179","277,820"
саха тыла,"17,681","52,526","408,921"
Bikol Central,"17,468","44,897","276,159"
žemaitėška,"17,229","29,937","360,809"
閩東語 / Mìng-dĕ̤ng-ngṳ̄,"16,530","33,203","101,558"
Gàidhlig,"15,980","32,289","576,456"
Basa Ugi,"15,844","20,136","202,826"
ייִדיש,"15,458","44,180","593,377"
Ilokano,"15,386","70,384","401,355"
አማርኛ,"15,378","46,549","380,834"
Limburgs,"14,966","67,390","464,525"
Napulitano,"14,885","24,055","668,342"
Bahasa Hulontalo,"14,767","22,956","56,416"
føroyskt,"14,113","40,936","380,283"
मैथिली,"14,109","43,115","262,329"
hornjoserbsce,"13,936","35,635","383,344"
Basa Banyumasan,"13,934","30,407","220,319"
