genre,author,book,pubhouse,price_now,price_old
Билингвы,Уайльд Оскар,Как важно быть серьезным и другие сочинения,Качели,560,800
Билингвы,Capote Truman,Breakfast at Tiffany's,Антология,192,295
Билингвы,Hesse Hermann,Der steppenwolf,ВК,209,298
Билингвы,Петросян Анна Карапетовна,Календарь. Цикл миниатюр,Спутник+,1 513,2 161
Билингвы,Дойл Артур Конан,Рассказы о Шерлоке Холмсе (The Stories about Sherlock Holmes),Антология,192,295
Билингвы,Лондон Джек,Северные рассказы,Детская литература,295,422
Билингвы,Уайльд Оскар,Как важно быть серьезным и другие сочинения,Качели,560,800
Билингвы,Батирова Залму Магомедовна,Нетающий снег,Вече,750,1 072
Билингвы,,,,614 р.,944
Билингвы,Коршун Наталья,На другой планете,У Никитских ворот,886,1 265
Билингвы,Сатыбалдин Капан,Қабаған ит,Высшее образование и наука,644,920
Билингвы,De Troyes Chretien,Le Chevalier de la Charrette,Livre de Poche,2 536,3 901
Билингвы,De Troyes Chretien,Le Conte du Graal,Livre de Poche,2 878,4 111
Билингвы,De Troyes Chretien,Erec et Enide,Livre de Poche,2 617,4 026
Билингвы,De Troyes Chretien,Cliges,Livre de Poche,2 943,4 527
Билингвы,De Troyes Chretien,Le Chevalier au Lion,Livre de Poche,2 878,4 111
Билингвы,de Lorris Guillaume,Le Roman de la rose,Livre de Poche,4 561,7 017
Билингвы,,Lettres d'Abélard et Héloïse,Livre de Poche,2 943,4 527
Билингвы,Rutebeuf,Oeuvres complètes,Livre de Poche,4 291,6 602
Билингвы,,Lettres d'amour du Moyen Age. Les Saluts et Complaintes,Livre de Poche,3 515,5 021
Билингвы,,La Chanson de Roland,Livre de Poche,2 237,3 196
Билингвы,,,,1 344,1 920
Билингвы,,La Chanson de Guillaume,Livre de Poche,2 587,3 696
Билингвы,,La Mort du roi Arthur,Livre de Poche,4 040,5 772
Билингвы,,Le Roman de Fauvel,Livre de Poche,4 040,5 772
Билингвы,,Beowulf,Livre de Poche,2 133,3 281
Билингвы,,All You Need is Art. Taller creativo de 3 a 90 años,Monsa,1 933,2 761
Билингвы,Tolkien John Ronald Reuel,Les Aventures de Tom Bombadil,Pocket Livre,1 850,2 846
